iteration;avg_executed;avg_worst;avg_average;avg_best
0;-15.00177848987331;-15.00177848987331;-15.00177848987331;-15.00177848987331
1;-14.89332218583617;-14.9640554370039;-14.928688811420038;-14.89332218583617
2;-14.82943617132934;-14.926499027604597;-14.875208923841491;-14.82875359895652
